Parameters: 
delta_t : 0.000001 
equillibrium_threshold : 0.000010 
max_cycles : 9000000.000000 
sample_frequency : 100000.000000 
Run Time : 459.611757 

DATA START
t                       |A                       |B                       |P                       |Q                       |X                       |Y                       |Z                       |
0.0000000000000000e+00  |5.9999999999999998e-02  |5.9999999999999998e-02  |0.0000000000000000e+00  |0.0000000000000000e+00  |1.5848931920000001e-10  |3.0199517199999999e-07  |4.7863009230000001e-08  |
9.9999999999999992e-02  |5.9999997962391624e-02  |5.9997534241558764e-02  |3.1604090895170105e-07  |1.7531230744915868e-07  |1.8033266233708294e-06  |9.5249503266663752e-10  |2.4986232193636344e-06  |
1.9999999999999998e-01  |5.9999997845453075e-02  |5.9731324263435859e-02  |1.3328584093780982e-05  |1.2497769653530003e-04  |5.3962269852491277e-06  |2.9576387316738343e-08  |2.5566743426476217e-04  |
2.9999999999999999e-01  |5.9999997483945411e-02  |5.9489194943901175e-02  |4.9590750560706297e-05  |2.2823294596980469e-04  |4.7536041993433060e-06  |6.0635258975998223e-08  |4.6150352846082565e-04  |
3.9999999999999997e-01  |5.9999996861749907e-02  |5.9279664496326157e-02  |1.0388018676357927e-04  |3.0620621592872775e-04  |4.0493200436647602e-06  |9.5127038294885237e-08  |6.1671004805291529e-04  |
5.0000000000000000e-01  |5.9999995911018060e-02  |5.9109548159806444e-02  |1.7112836687071490e-04  |3.5817473055861794e-04  |2.9823486606147474e-06  |1.5054897986846736e-07  |7.1952278252416753e-04  |
5.9999999999999998e-01  |5.9999865348304746e-02  |5.9073564896657674e-02  |1.9532316651591693e-04  |3.6569067407152256e-04  |5.0565120112796436e-11  |4.7387235167253074e-05  |6.8407455984140545e-04  |
6.9999999999999996e-01  |5.9999222794313391e-02  |5.9073562512569192e-02  |1.9661065873976258e-04  |3.6569067408236458e-04  |5.0383181314546846e-11  |1.1119819065203119e-04  |6.1897849621203214e-04  |
7.9999999999999993e-01  |5.9998096504343741e-02  |5.9073560132782636e-02  |1.9886561849857126e-04  |3.6569067409320661e-04  |5.0336986401792342e-11  |1.6784696591315749e-04  |5.6007714098599455e-04  |
8.9999999999999991e-01  |5.9996541229412705e-02  |5.9073557754494944e-02  |2.0197854666826852e-04  |3.6569067410404863e-04  |5.0315265040128187e-11  |2.1803256497318030e-04  |5.0678099206052452e-04  |
1.0000000000000000e+00  |5.9994606378307960e-02  |5.9073555377006440e-02  |2.0585062637857446e-04  |3.6569067411489065e-04  |5.0302107409568869e-11  |2.6238721089926636e-04  |4.5855664393326792e-04  |
1.0999999999999999e+00  |5.9992336525831386e-02  |5.9073552999979351e-02  |2.1039270831022222e-04  |3.6569067412573267e-04  |5.0292854358298253e-11  |3.0148269891437369e-04  |4.1492145097659039e-04  |
1.2000000000000000e+00  |5.9989771873158501e-02  |5.9073550623408189e-02  |2.1552439024774303e-04  |3.6569067413657469e-04  |5.0285659905415099e-11  |3.3583614730386014e-04  |3.7543869725562527e-04  |
1.3000000000000000e+00  |5.9986948664788077e-02  |5.9073548247008015e-02  |2.2117318327242902e-04  |3.6569067414741671e-04  |5.0279655130358308e-11  |3.6591520201735968e-04  |3.3971322581388940e-04  |
1.3999999999999999e+00  |5.9983899566104192e-02  |5.9073545871130742e-02  |2.2727375665418048e-04  |3.6569067415825874e-04  |5.0274383054594025e-11  |3.9214274664012044e-04  |3.0738748384058549e-04  |
1.5000000000000000e+00  |5.9980654005261709e-02  |5.9073543495253469e-02  |2.3376725411891909e-04  |3.6569067416910076e-04  |5.0269584360484520e-11  |4.1490116463567403e-04  |2.7813794417420450e-04  |
1.5999999999999999e+00  |5.9977238482691902e-02  |5.9073541119577411e-02  |2.4060067481804047e-04  |3.6569067417994278e-04  |5.0265103748394821e-11  |4.3453619634693487e-04  |2.5167186733885907e-04  |
1.7000000000000000e+00  |5.9973676851309062e-02  |5.9073538744394027e-02  |2.4772631293412477e-04  |3.6569067419078480e-04  |5.0260844551257348e-11  |4.5136042922767954e-04  |2.2772437171074997e-04  |
1.7999999999999998e+00  |5.9969990570146223e-02  |5.9073536369210644e-02  |2.5510125041522662e-04  |3.6569067420162682e-04  |5.0256744932132200e-11  |4.6565645613482208e-04  |2.0605578249381022e-04  |
1.8999999999999999e+00  |5.9966198933915714e-02  |5.9073533994027261e-02  |2.6268689783922071e-04  |3.6569067421246884e-04  |5.0252764602838090e-11  |4.7767973321206388e-04  |1.8644923297298594e-04  |
2.0000000000000000e+00  |5.9962319280787844e-02  |5.9073531619349445e-02  |2.7044857887354573e-04  |3.6569067422331087e-04  |5.0248877035415724e-11  |4.8766116590710741e-04  |1.6870849403811125e-04  |
2.1000000000000001e+00  |5.9958367180414536e-02  |5.9073529244859951e-02  |2.7835515421785581e-04  |3.6569067423415289e-04  |5.0245064706131805e-11  |4.9580944895771990e-04  |1.5265601025570352e-04  |
2.1999999999999997e+00  |5.9954356604081521e-02  |5.9073526870370457e-02  |2.8637868130087634e-04  |3.6569067424499491e-04  |5.0241316093184968e-11  |5.0231318373103592e-04  |1.3813112283315586e-04  |
2.2999999999999998e+00  |5.9950300078678048e-02  |5.9073524495880964e-02  |2.9449410635146785e-04  |3.6569067425583693e-04  |5.0237623728834186e-11  |5.0734279408124101e-04  |1.2498846169024054e-04  |
2.3999999999999999e+00  |5.9946208825997403e-02  |5.9073522121972151e-02  |3.0267898578064095e-04  |3.6569067426667895e-04  |5.0233982906780108e-11  |5.1105225988163304e-04  |1.1309649054520815e-04  |
2.5000000000000000e+00  |5.9942092888787497e-02  |5.9073519748176546e-02  |3.1091323409882258e-04  |3.6569067427752097e-04  |5.0230390808417064e-11  |5.1358068556789556e-04  |1.0233619045428680e-04  |
2.6000000000000001e+00  |5.9937961244774150e-02  |5.9073517374380942e-02  |3.1917889585389550e-04  |3.6569067428836300e-04  |5.0226845903362407e-11  |5.1505371938293171e-04  |9.2599868628986351e-05  |
2.6999999999999997e+00  |5.9933821909825949e-02  |5.9073515000585337e-02  |3.2745993931178108e-04  |3.6569067429920502e-04  |5.0223347533381519e-11  |5.1558483752284581e-04  |8.3790080609455399e-05  |
2.7999999999999998e+00  |5.9929682031273870e-02  |5.9073512627284441e-02  |3.3574206981676423e-04  |3.6569067431004704e-04  |5.0219895621114961e-11  |5.1527650603462800e-04  |7.5818655006628768e-05  |
2.8999999999999999e+00  |5.9925547972318097e-02  |5.9073510254182726e-02  |3.4401256096290952e-04  |3.6569067432088906e-04  |5.0216490465036997e-11  |5.1422123209444125e-04  |6.8605811052482822e-05  |
3.0000000000000000e+00  |5.9921425388394782e-02  |5.9073507881081011e-02  |3.5226010188481663e-04  |3.6569067433173108e-04  |5.0213132594787152e-11  |5.1250251519044496e-04  |6.2079360126485381e-05  |
3.0999999999999996e+00  |5.9917319296228143e-02  |5.9073505507979296e-02  |3.6047465913576469e-04  |3.6569067434257310e-04  |5.0209822669177891e-11  |5.1019570773331126e-04  |5.6173983266927784e-05  |
3.1999999999999997e+00  |5.9913234136294485e-02  |5.9073503135116327e-02  |3.6864735176641932e-04  |3.6569067435341513e-04  |5.0206561404674242e-11  |5.0736879371234347e-04  |5.0830577436128338e-05  |
3.2999999999999998e+00  |5.9909173829307910e-02  |5.9073500762708502e-02  |3.7677033834854147e-04  |3.6569067436425715e-04  |5.0203349525747396e-11  |5.0408309319540788e-04  |4.5995663996782731e-05  |
3.3999999999999999e+00  |5.9905141827307530e-02  |5.9073498390300676e-02  |3.8483671480718003e-04  |3.6569067437509917e-04  |5.0200187731021238e-11  |5.0039389972942358e-04  |4.1620853479243196e-05  |
3.5000000000000000e+00  |5.9901141159849756e-02  |5.9073496017892850e-02  |3.9284042203260937e-04  |3.6569067438594119e-04  |5.0197076670838692e-11  |4.9635105702709671e-04  |3.7662361282953748e-05  |
